01/01/2018-17:10;28.9;26.2;57.7;27.5
01/01/2018-17:20;28.9;24.7;57.8;27.4
01/01/2018-17:30;28.5;21.9;58.1;27.1
01/01/2018-17:40;28.0;24.3;58.5;26.7
01/01/2018-17:50;28.1;20.1;58.9;26.7
01/01/2018-18:00;28.1;16.4;58.7;26.7
01/01/2018-18:10;28.7;18.1;56.2;27.3
01/01/2018-18:20;28.8;22.0;55.3;27.4
01/01/2018-18:30;28.1;25.0;57.2;26.8
01/01/2018-18:40;28.3;17.0;56.6;27.0
01/01/2018-18:50;28.0;25.0;58.1;26.7
01/01/2018-19:00;27.5;23.5;59.1;26.2
01/01/2018-19:10;27.2;20.0;60.7;25.9
01/01/2018-19:20;27.0;18.9;61.6;25.7
01/01/2018-19:30;26.7;21.6;62.0;25.5
01/01/2018-19:40;26.6;20.7;62.2;25.4
01/01/2018-19:50;26.3;17.4;63.5;25.1
01/01/2018-20:00;26.0;13.8;65.4;24.9
01/01/2018-20:10;25.8;10.9;68.4;24.6
01/01/2018-20:20;25.6;10.8;69.8;24.5
01/01/2018-20:30;25.6;14.1;70.6;24.4
01/01/2018-20:40;25.0;10.8;72.4;23.9
01/01/2018-20:50;24.8;10.2;73.8;23.6
01/01/2018-21:00;25.0;12.2;73.8;23.8
01/01/2018-21:10;24.9;7.8;73.8;23.7
01/01/2018-21:20;24.9;4.7;74.1;23.7
01/01/2018-21:30;24.8;15.1;74.2;23.7
01/01/2018-21:40;24.6;14.9;74.4;23.5
01/01/2018-21:50;24.0;13.2;76.6;22.9
01/01/2018-22:00;23.5;15.7;77.0;22.4
01/01/2018-22:10;23.8;13.3;72.1;22.6
01/01/2018-22:20;23.7;20.0;76.3;22.6
01/01/2018-22:30;23.5;14.7;77.0;22.4
01/01/2018-22:40;23.0;8.4;77.9;21.9
01/01/2018-22:50;22.5;9.3;77.8;21.4
01/01/2018-23:00;22.2;16.0;77.4;21.1
01/01/2018-23:10;22.0;19.1;76.7;20.8
01/01/2018-23:20;21.7;16.7;77.2;20.5
01/01/2018-23:30;21.5;16.3;77.4;20.4
01/01/2018-23:40;21.7;16.3;76.6;20.5
01/01/2018-23:50;21.7;12.7;77.0;20.5
02/01/2018-00:00;21.5;17.5;77.2;20.4
02/01/2018-00:10;21.2;15.9;78.6;20.1
02/01/2018-00:20;20.6;13.3;81.6;19.4
02/01/2018-00:30;20.5;15.8;82.1;19.3
02/01/2018-00:40;20.6;15.6;81.5;19.4
02/01/2018-00:50;20.6;14.4;81.2;19.4
02/01/2018-01:00;20.6;12.3;81.3;19.4
02/01/2018-01:10;20.9;15.6;80.3;19.7
02/01/2018-01:20;20.9;14.9;79.5;19.7
02/01/2018-01:30;20.6;13.9;80.4;19.4
02/01/2018-01:40;20.6;13.3;80.9;19.4
02/01/2018-01:50;20.6;13.3;81.0;19.4
02/01/2018-02:00;20.6;13.9;81.1;19.4
02/01/2018-02:10;20.5;13.5;81.7;19.3
02/01/2018-02:20;20.3;14.1;82.5;19.1
02/01/2018-02:30;20.3;13.0;82.3;19.1
02/01/2018-02:40;20.1;11.2;82.9;18.9
02/01/2018-02:50;20.1;11.5;83.2;18.9
02/01/2018-03:00;20.0;14.0;83.6;18.7
02/01/2018-03:10;20.2;11.3;82.9;19.0
02/01/2018-03:20;20.2;8.2;83.1;19.0
02/01/2018-03:30;20.1;4.6;83.7;18.9
02/01/2018-03:40;20.1;10.8;84.2;18.9
02/01/2018-03:50;20.1;13.2;84.6;18.9
02/01/2018-04:00;20.2;13.2;84.6;19.0
02/01/2018-04:10;20.3;14.7;84.6;19.0
02/01/2018-04:20;20.2;17.8;85.0;19.0
02/01/2018-04:30;20.1;11.5;85.4;18.8
02/01/2018-04:40;19.8;13.7;86.4;18.5
02/01/2018-04:50;19.9;15.6;86.9;18.7
02/01/2018-05:00;19.9;14.2;86.9;18.6
02/01/2018-05:10;20.0;16.0;87.1;18.7
02/01/2018-05:20;20.2;17.7;86.9;18.9
02/01/2018-05:30;20.2;17.3;86.8;19.0
02/01/2018-05:40;20.3;14.0;86.9;19.1
02/01/2018-05:50;20.5;16.3;86.7;19.3
02/01/2018-06:00;20.5;17.3;86.8;19.3
02/01/2018-06:10;20.5;17.0;87.0;19.4
02/01/2018-06:20;20.6;18.1;87.2;19.4
02/01/2018-06:30;20.6;16.8;87.2;19.4
02/01/2018-06:40;20.5;15.0;87.3;19.3
02/01/2018-06:50;20.5;16.2;87.4;19.3
